Plot	Species	Month	Parameter	Value																					
18	Litter_Trap	November	CN_Ratio	39.57425369																					
19	Litter_Trap	November	CN_Ratio	30.35971081																					
20	Litter_Trap	November	CN_Ratio	33.76290321																					
21	Litter_Trap	November	CN_Ratio	40.16305037																					
22	Litter_Trap	November	CN_Ratio	37.05787102																					
23	Litter_Trap	November	CN_Ratio	32.40679624																					
24	Litter_Trap	November	CN_Ratio	36.0089112																					
25	Litter_Trap	November	CN_Ratio	31.43642622																					
26	Litter_Trap	November	CN_Ratio	36.57255431																					
27	Litter_Trap	November	CN_Ratio	29.79010281																					
28	Litter_Trap	November	CN_Ratio	31.18845257																					
29	Litter_Trap	November	CN_Ratio	28.62101293																					
30	Litter_Trap	November	CN_Ratio	33.92284763																					
31	Litter_Trap	November	CN_Ratio	39.17472181																					
32	Litter_Trap	November	CN_Ratio	31.67928246																					
33	Litter_Trap	November	CN_Ratio	30.23075781																					
34	Litter_Trap	November	CN_Ratio	31.93614212																					
35	Litter_Trap	November	CN_Ratio	29.52849631																					
36	Litter_Trap	November	CN_Ratio	32.9407262																					
1	Litter_Trap	November	CP_Ratio	317.5317702																					
2	Litter_Trap	November	CP_Ratio	1010.523854																					
3	Litter_Trap	November	CP_Ratio	528.4588971																					
4	Litter_Trap	November	CP_Ratio	814.159538																					
5	Litter_Trap	November	CP_Ratio	664.7076688																					
6	Litter_Trap	November	CP_Ratio	884.2099359																					
7	Litter_Trap	November	CP_Ratio	281.1908024																					
8	Litter_Trap	November	CP_Ratio	1533.558258																					
9	Litter_Trap	November	CP_Ratio	1040.904985																					
10	Litter_Trap	November	CP_Ratio	692.7802241																					
11	Litter_Trap	November	CP_Ratio	1073.815198																					
12	Litter_Trap	November	CP_Ratio	1010.783757																					
13	Litter_Trap	November	CP_Ratio	351.5108047																					
14	Litter_Trap	November	CP_Ratio	459.2903283																					
15	Litter_Trap	November	CP_Ratio	531.3594109																					
16	Litter_Trap	November	CP_Ratio	1009.518594																					
17	Litter_Trap	November	CP_Ratio	666.5032487																					
18	Litter_Trap	November	CP_Ratio	823.2299677																					
19	Litter_Trap	November	CP_Ratio	866.2472296																					
20	Litter_Trap	November	CP_Ratio	685.2611853																					
21	Litter_Trap	November	CP_Ratio	518.8332716																					
22	Litter_Trap	November	CP_Ratio	663.4276882																					
23	Litter_Trap	November	CP_Ratio	944.0316553																					
24	Litter_Trap	November	CP_Ratio	607.7680066																					
25	Litter_Trap	November	CP_Ratio	957.1743539																					
26	Litter_Trap	November	CP_Ratio	1007.257146																					
27	Litter_Trap	November	CP_Ratio	727.3757821																					
28	Litter_Trap	November	CP_Ratio	1024.952047																					
29	Litter_Trap	November	CP_Ratio	644.28214																					
30	Litter_Trap	November	CP_Ratio	547.2099054																					
31	Litter_Trap	November	CP_Ratio	1000.637997																					
32	Litter_Trap	November	CP_Ratio	891.8027324																					
33	Litter_Trap	November	CP_Ratio	401.0123345																					
34	Litter_Trap	November	CP_Ratio	1002.414571																					
35	Litter_Trap	November	CP_Ratio	446.3133553																					
36	Litter_Trap	November	CP_Ratio	1033.319301																					
1	Litter_Trap	November	NP_Ratio	9.168871569																					
2	Litter_Trap	November	NP_Ratio	31.00592201																					
3	Litter_Trap	November	NP_Ratio	15.89818842																					
4	Litter_Trap	November	NP_Ratio	25.63957985																					
5	Litter_Trap	November	NP_Ratio	21.55563211																					
6	Litter_Trap	November	NP_Ratio	23.52401123																					
7	Litter_Trap	November	NP_Ratio	8.277350342																					
8	Litter_Trap	November	NP_Ratio	40.43957264																					
9	Litter_Trap	November	NP_Ratio	31.64038948																					
10	Litter_Trap	November	NP_Ratio	22.14856637																					
11	Litter_Trap	November	NP_Ratio	32.23699688																					
12	Litter_Trap	November	NP_Ratio	28.86887518																					
13	Litter_Trap	November	NP_Ratio	10.46673688																					
14	Litter_Trap	November	NP_Ratio	15.74777																					
15	Litter_Trap	November	NP_Ratio	18.69222024																					
16	Litter_Trap	November	NP_Ratio	29.18594488																					
17	Litter_Trap	November	NP_Ratio	20.27867069																					
18	Litter_Trap	November	NP_Ratio	20.80216027																					
19	Litter_Trap	November	NP_Ratio	28.53278923																					
20	Litter_Trap	November	NP_Ratio	20.2962755																					
21	Litter_Trap	November	NP_Ratio	12.91817396																					
22	Litter_Trap	November	NP_Ratio	17.90247712																					
23	Litter_Trap	November	NP_Ratio	29.13066902																					
24	Litter_Trap	November	NP_Ratio	16.8782667																					
25	Litter_Trap	November	NP_Ratio	30.44793792																					
26	Litter_Trap	November	NP_Ratio	27.54133981																					
27	Litter_Trap	November	NP_Ratio	24.41669257																					
28	Litter_Trap	November	NP_Ratio	32.86319014																					
29	Litter_Trap	November	NP_Ratio	22.51080846																					
30	Litter_Trap	November	NP_Ratio	16.13101327																					
31	Litter_Trap	November	NP_Ratio	25.54295092																					
32	Litter_Trap	November	NP_Ratio	28.15097639																					
33	Litter_Trap	November	NP_Ratio	13.26504406																					
34	Litter_Trap	November	NP_Ratio	31.38809212																					
35	Litter_Trap	November	NP_Ratio	15.11466587																					
36	Litter_Trap	November	NP_Ratio	31.36905041																					
